ID,condition,trialType,objects,ratings
684,BB,Experimental,C,0.883
685,BB,Experimental,A,0.908
686,BB,Experimental,B,0.89
687,BB,Experimental,C,0.885
688,BB,Experimental,A,0.908
689,BB,Experimental,B,0.887
690,BB,Experimental,C,0.891
691,BB,Experimental,A,0.915
692,BB,Experimental,B,0.889
693,BB,Experimental,C,0.883
694,BB,Experimental,A,0.907
695,BB,Experimental,B,0.883
696,BB,Experimental,C,0.892
697,BB,Experimental,A,0.908
698,BB,Experimental,B,0.884
699,BB,Experimental,C,0.891
700,BB,Experimental,A,0.907
701,BB,Experimental,B,0.886
702,BB,Experimental,C,0.891
703,BB,Experimental,A,0.911
704,BB,Experimental,B,0.889
705,BB,Experimental,C,0.883
706,BB,Experimental,A,0.908
707,BB,Experimental,B,0.889
708,BB,Experimental,C,0.891
709,BB,Experimental,A,0.913
710,BB,Experimental,B,0.883
711,BB,Experimental,C,0.892
712,BB,Experimental,A,0.907
713,BB,Experimental,B,0.883
714,BB,Experimental,C,0.887
715,BB,Experimental,A,0.912
716,BB,Experimental,B,0.888
717,BB,Experimental,C,0.883
718,BB,Experimental,A,0.911
719,BB,Experimental,B,0.888
720,BB,Experimental,C,0.883
721,BB,Experimental,A,0.912
722,BB,Experimental,B,0.891
723,BB,Experimental,C,0.883
724,BB,Experimental,A,0.912
725,BB,Experimental,B,0.885
726,BB,Experimental,C,0.89
727,BB,Experimental,A,0.91
728,BB,Experimental,B,0.891
729,BB,Experimental,C,0.883
730,BB,Experimental,A,0.909
731,BB,Experimental,B,0.891
732,BB,Experimental,C,0.892
733,BB,Experimental,A,0.911
734,BB,Experimental,B,0.883
735,BB,Experimental,C,0.887
736,BB,Experimental,A,0.91
737,BB,Experimental,B,0.889
738,BB,Experimental,C,0.887
739,BB,Experimental,A,0.907
740,BB,Experimental,B,0.887
741,BB,Experimental,C,0.885
742,BB,Experimental,A,0.907
743,BB,Experimental,B,0.887
744,BB,Experimental,C,0.888
